text,popularity,risk,meaning1,meaning2,meaning3,meaning4,meaning5,pinyin,readings
の,841611,,,
は,723771,,,
に,637430,,,
た,570351,,,
を,568311,,,
て,559231,,,
だ,487784,,,
が,480012,,,
で,305190,,,
ない,290488,,,
か,268235,,,
し,262588,,,
と,260953,,,
も,221358,,,
な,207451,,,
よ,192000,,,
ん,170805,,,
私,138728,,me,,shi/watakushi/watashi
てる,122786,,,
何,122507,,what,,ka/nani
から,109342,,,
です,104075,,,
ね,91714,,,
それ,86819,,,
わ,84668,,,
する,84173,,,
こと,83672,,,
彼,83092,,he,,hi/kare
いる,78520,,,
い,77117,,,
あなた,76579,,,
そう,73943,,,
ます,72450,,,
いい,66493,,,
君,62907,,you,,kun/kimi
どう,62526,,,
俺,62444,,i,,ore
さ,60546,,,
ある,57977,,,
じゃ,56790,,,
お,55360,,,
れ,54290,,,
これ,49319,,,
って,47298,,,
この,46773,,,
ここ,44921,,,
くれ,43064,,,
人,42914,,person,,jin/nin/hito
その,41892,,,
お前,41324,,,
誰,41114,,"""who",,"(question word)"" dare"
事,41101,,"""abstract",,"thing"" ji/koto"
ば,40321,,,
見,40134,,see,,ken/mi-ru/mi-eru/mi-seru
彼女,39677,,,
ぞ,39280,,,
ら,38951,,,
なら,37908,,,
だっ,36884,,,
まし,35874,,,
もう,34400,,,
よう,33724,,,
たら,32893,,,
言っ,32750,,,
たい,32094,,,
なかっ,31679,,,
だけ,31138,,,
たち,30373,,,
今,30245,,now,,kon/kin/ima
僕,30035,,me,,boku
ませ,29440,,,
者,28991,,someone,,sha/mono
来,28914,,come,,rai/ku-ru/kita-ru/kita-su
やっ,26500,,,
まで,25146,,,
どこ,25104,,,
へ,25008,,,
けど,24999,,,
さん,24603,,,
なる,24248,,,
ああ,23124,,,
時,22946,,time,,ji/toki
知っ,22400,,,
せ,22241,,,
なっ,22005,,,
中,21816,,middle,,chuu/naka
達,21783,,attain,,tatsu
行く,21686,,,
ため,21582,,,
だろ,21483,,,
前,21226,,"""in",,"front"" zen/mae"
だろう,20620,,,
もの,20598,,,
必要,20546,,,
あの,19555,,,
奴,19281,,guy,,do
なく,19269,,,
あっ,19263,,,
気,19134,,feeling,,ki/ke
あり,19001,,,
でき,18916,,,
我々,18759,,,
大丈夫,18478,,,
話,18176,,talk,,wa/hana-su/hanashi
自分,18043,,,
思っ,17848,,,
時間,17296,,,
られ,17150,,,
本当,16909,,,
なぜ,16901,,,
き,16873,,,
まだ,16839,,,
そんな,16833,,,
出,16747,,exit,,shutsu/de-ru/da-su
そして,16247,,,
ありがとう,16220,,,
的,16179,,target,,teki/mato
思う,16159,,,
いう,16116,,,
いや,15888,,,
聞い,15842,,,
家,15797,,house,,ka/ke/ie/ya
言う,15655,,,
年,15376,,year,,nen/toshi
つ,15140,,,
や,14878,,,
持っ,14862,,,
なん,14817,,,
分かっ,14748,,,
男,14681,,male,,dan/nan/otoko
日,14593,,day,,nichi/jitsu/hi/ka
ちょっと,14408,,,
話し,14301,,,
行っ,14169,,,
手,13936,,hand,,shu/te
方,13902,,direction,,hou/kata
わかっ,13899,,,
そこ,13715,,,
知ら,13630,,,
一,13610,,one,,ichi/itsu/hito/hito-tsu
仕事,13555,,,
一緒,13338,,,
できる,13286,,,
待っ,13180,,,
後,13032,,behind,,go/kou/nochi/ushi-ro/ato/oku-reru
れる,12985,,,
やる,12931,,,
すぐ,12896,,,
ええ,12828,,,
考え,12787,,,
他,12567,,other,,ta/hoka
より,12454,,,
はい,12259,,,
違う,12175,,,
でしょ,12145,,,
目,12110,,eye,,moku/me
なさい,12040,,,
つい,12018,,,
おい,11794,,,
みんな,11700,,,
電話,11456,,,
みたい,11451,,,
しろ,11321,,,
死ん,11219,,,
無い,11189,,,
また,11063,,,
良い,11002,,,
殺し,10885,,,
あんた,10799,,,
助け,10659,,,
でしょう,10636,,,
なんて,10524,,,
所,10478,,place,,sho/tokoro
こんな,10449,,,
見つけ,10330,,,
場所,10231,,,
同じ,10107,,,
あれ,10100,,,
車,10062,,car,,sha/kuruma
子供,10033,,,
様,9893,,"""formal",,"title"" you/sama"
よく,9878,,,
べき,9850,,,
問題,9737,,,
子,9514,,child,,shi/su/ko
ください,9451,,,
好き,9374,,,
さあ,9278,,,
み,9240,,,
世界,9235,,,
たく,9197,,,
金,9163,,gold,,kin/kon/kane
全て,9114,,,
信じ,9002,,,
名前,8945,,,
通り,8882,,,
ご,8880,,,
思い,8871,,,
ー,8855,,,
連れ,8852,,,
もし,8852,,,
来る,8819,,,
願い,8769,,,
皆,8758,,all,,kai/mina
はず,8738,,,
ダメ,8719,,,
少し,8601,,,
ただ,8582,,,
上,8580,,up,,jou/ue/kami/a-geru/a-garu/nobo-ru/nobo-seru/nobo-su
出し,8543,,,
生き,8419,,,
分,8335,,part,,bun/fun/bu/wa-keru/wa-kareru/wa-karu/wa-katsu
よし,8144,,,
人間,8125,,,
くれる,8121,,,
しよう,8104,,,
せる,8097,,,
つもり,8075,,,
しかし,8059,,,
行け,8036,,,
ねえ,8012,,,
出来,7944,,,
ぜ,7884,,,
やめ,7853,,,
いつ,7818,,,
もっと,7743,,,
悪い,7692,,,
すべて,7680,,,
どんな,7668,,,
今日,7656,,,
女,7652,,woman,,jo/nyo/onna/me
パパ,7594,,,
言わ,7580,,,
戻っ,7577,,,
欲しい,7554,,,
入っ,7534,,,
こっち,7473,,,
為,7464,,do,,i
なけれ,7457,,,
でし,7441,,,
うん,7417,,,
入れ,7399,,,
早く,7382,,,
物,7372,,thing,,butsu/motsu/mono
ところ,7288,,,
ママ,7268,,,
教え,7265,,,
心配,7228,,,
ごめん,7200,,,
ましょう,7178,,,
力,7121,,power,,ryoku/riki/chikara
なり,7116,,,
ず,7020,,,
じゃあ,6957,,,
神,6955,,god,,shin/jin/kami
居,6880,,reside,,kyo/i-ru
最後,6761,,,
取り,6740,,,
家族,6733,,,
られる,6710,,,
いいえ,6699,,,
いつも,6681,,,
落ち,6660,,,
くる,6660,,,
意味,6656,,,
官,6579,,"""government",,"official"" kan"
度,6567,,degrees,,do/tabi
行か,6544,,,
関係,6542,,,
受け,6507,,,
息子,6477,,,
次,6451,,next,,ji/shi/tsu-gu/tsugi
娘,6381,,daughter,,musume
言い,6363,,,
父,6306,,father,,fu/chichi
でる,6273,,,
行き,6267,,,
警察,6267,,,
分から,6209,,,
間,6176,,interval,,kan/ken/aida/ma
準備,6120,,,
なきゃ,6079,,,
頭,6078,,head,,tou/zu/atama/kashira
かけ,6048,,,
しか,5954,,,
全部,5949,,,
死ぬ,5928,,,
しれ,5915,,,
心,5909,,heart,,shin/kokoro
感じ,5896,,,
探し,5870,,,
愛し,5869,,,
もちろん,5867,,,
銃,5847,,gun,,juu
殺す,5805,,,
