text,popularity,risk,meaning1,meaning2,meaning3,meaning4,meaning5,pinyin,readings
des,3798789,,"plural of un (“some”, the plural indefinite article)","plural of une (“some”, the plural indefinite article)","plural of du (“some”, the plural partitive article)","plural of de la (“some”, the plural partitive article)","plural of de l' (“some”, the plural partitive article)",,
qui,3298007,,"who, whom","who, which, that",whom (after a preposition),"he who, who(m)ever",what,,
moi,3294323,,me (first-person singular disjunctive pronoun),me (first-person singular object pronoun of imperative verbs),the ego; the me,,
nous,3183863,,the plural personal pronoun in the first person:,we (as the royal we),"the nous, (divine) reason in philosophy",,
mais,3176935,,"but, although","an expression of surprise, disbelief, or frustration roughly equivalent to the English well, or sometimes yeah, compare Spanish pero",plural of mai,,
dans,2978291,,"in, inside (enclosed in a physical space, a group, a state)","to (indicates direction towards certain large subdivisions, see usage notes)","in, within (a longer period of time)",during,"out of, from",,
elle,2936837,,she,it (feminine gender third-person singular subject pronoun),"disjunctive form of elle; her, it; à elle = hers, its",The name of the Latin script letter L/l.,,
me,2893145,,me (direct object),me (indirect object),,
y,2787581,,"a letter in the French alphabet, after x and before z",there (at a place),"there, thither (to there)",Used as a pronoun to replace an adverbial phrase starting with à.,alternative form of il; he,,
bien,2777029,,"good, all right, great","good looking, nice",well,indeed; so,a lot (of),,
si,2775667,,initialism of Système international: SI,,
du,2670312,,"contraction of de + le, literally “of the”",Forms the partitive article.,,
t',2626034,,elided form of te,elided form of tu,,
suis,2590747,,first-person singular present indicative of être,first/second-person singular present indicative of suivre,second-person singular present imperative of suivre,,
non,2483529,,no,not,"a no, a negative response",no!,,
tout,2465108,,all,totally; completely,however; no matter how,"whole, entirety, total",everything,,
avec,2429176,,with,"too, also",,
plus,2411062,,used to express the comparative and superlative of a following adjective or adverb,"more, most (to a greater / the greatest extent)",more (a greater amount),plus,in negated sentences,,
mon,2374739,,my (used to qualify masculine nouns and vowel-initial words regardless of gender),"Followed by rank, obligatory way of addressing a (male) superior officer within the military. (Folk etymology: military-specific short for ""monsieur"".)",,
m',2291041,,prevocalic form of me,prevocalic form of moi,,
te,2285224,,you,yourself,,
au,2220096,,"contraction of à + le, literally “to the, for the, at the”",,
fait,2101898,,fact,third-person singular present indicative of faire,past participle of faire,done,cut out,,
as,2098459,,ace (card of value 1),ace (expert or pilot),as (Roman coin),second-person singular present indicative of avoir,,
va,2060322,,"""version anglaise"" — English-language version (EV); a film dubbed in English",,
s',2055914,,Elision of si (“if”) before il or ils.,Elision of se before a word beginning with a vowel.,Elision of se before a word beginning with a consonant.,,
ils,2015999,,they (male or mixed group),they (female),,
était,1924597,,third-person singular imperfect indicative of être,,
oui,1906065,,yes,,
faire,1890279,,to do,to make,"to say (of a person), to go (of an animal or device)",to make (cause someone or something to do something),to act like (something),,
sur,1844346,,"on, upon",on top of,from on top of,above,out of,,
toi,1834252,,"you (informal second-person singular personal pronoun, disjunctive)",yourself (reflexive object pronoun of imperative verbs),,
quoi,1787728,,what,"what, (that) which",enough (of something specific),nothing,whatever,,
se,1734372,,abbreviation of sud-est; SE,,
sais,1697954,,first/second-person singular present indicative of savoir,,
là,1696037,,referring to physical place,referring to an abstract destination or goal; there,used to emphasize a statement or question,,
comme,1686922,,"as (in the role of, by way of)","like, as",such as,how,"because, as, since",,
être,1640613,,to be,to be located; to be situated,"to denote time, day, or date","used to form compound tenses and structures, such as the perfect and pluperfect","being, thing, creature",,
veux,1529777,,inflection of vouloir:,,
lui,1489493,,"him, he, it; the third-person masculine singular personal pronoun used after a preposition, or as the predicate of a linking verb, or when disjoined from a sentence, or as a stressed subject","him, her; the third-person singular personal pronoun used as an indirect object",past participle of luire,,
ici,1457365,,here,,
es,1433319,,second-person singular present indicative of être,,
ma,1412399,,abbreviation of meilleur avant (“best before”): BB,,
dit,1390875,,"a sentence, saying or maxim",a story from the mediæval period; a tale,past participle of dire,Indicating a surname used as a family name.,third-person singular present indicative of dire,,
votre,1360688,,"your, belonging to you (plural or formal)",,
où,1307839,,where (interrogative),where (relative pronoun),at that time; when,"whither, to where",,
rien,1289204,,nothing,anything,a nothing,,
pourquoi,1288723,,why,,
avez,1267577,,second-person plural present indicative of avoir,,
sont,1242290,,third-person plural present indicative of être,,
cette,1223299,,feminine singular of ce,,
peux,1198803,,first/second-person singular present indicative of pouvoir,,
quand,1162260,,when (at what time),when (at the time that),whenever,,
son,1147493,,sound,A piece (of music); a (musical) work; an opus.,"his, her, their, its (used to qualify masculine nouns and before a vowel)",bran,,
dire,1137321,,"to say, to tell (to express through speech)","to tell (to order, to advise)","to say, to tell (to set out in writing)",to say (often used in the sense of responding to an objection),"to say, to tell of (to celebrate, to sing, to narrate)",,
ton,1088127,,your,tone (sound of a particular frequency),tone (interval),tone (manner of speaking),"tone, shade (of colour)",,
vais,1059361,,first-person singular present indicative of aller,first-person singular present indicative of vader,,
par,1058143,,through,by (used to introduce a means; used to introduce an agent in a passive construction),over (used to express direction),"from (used to describe the origin of something, especially a view or movement)","around, round (inside of)",,
alors,1057962,,then (at that time),"so, hence (as a consequence)","so, well, well then",,
comment,1043157,,how,how many; how much,"pardon?, sorry?, what?",An expression of surprise or anger.,The means by which something is accomplished; the how.,,
peut,1032007,,third-person singular present indicative of pouvoir,obsolete spelling of put: third-person singular past historic of pouvoir,,
ou,985082,,or,either...or,,
ont,961328,,third-person plural present indicative of avoir,,
bon,953444,,good,"right, correct, appropriate","sexy, hot, smoking hot","generous, agreeable; nice, fine","voucher, ticket, coupon",,
chose,941293,,thing,,
merci,914344,,thank you,mercy,grace,"thanks, an expression of gratitude, the word merci",,
très,902481,,very,,
même,896795,,even,same,very,,
jamais,869454,,never,ever,,
allez,861179,,inflection of aller,inflection of aller:,"As an expression of encouragement; there you go, let's go, come on, that's it, attaboy, attagirl","expressing a certain agitation, positive or negative (eg. enthusiasm or excitement, or impatience, annoyance or frustration, etc.), sometimes overlapping with previous sense of encouragement; come on, go on",,
êtes,857974,,second-person plural present indicative of être,,
juste,851493,,"fair, just","reasonable, appropriate, grounded",correct,perfect,shorter or less than desired; insufficient,,
été,841160,,summer,past participle of être,past participle of aller,,
aussi,833233,,"too, also, as well",as (used for equal comparisons),therefore,,
fais,829914,,inflection of faire:,,
voir,828654,,to see (visually),to see (to understand),"to see (to visit, to go and see)",please (used to mark the imperative),,
avoir,821177,,to have; to own; to possess; to get,to have (to experience or suffer from a state or condition),to have (an age),"used to form the compound tenses of most verbs, such as the perfect and pluperfect.","to have (to), must",,
sa,805656,,initialism of société anonyme (Incorporated (Inc.)) (Limited liability company (Ltd.)),,
tous,802992,,all,everybody,masculine plural of tout,,
vraiment,802185,,"truly, really, genuinely",really; very,really? for real?,,
deux,783767,,two,,
ces,771754,,"masculine/feminine plural of ce: these, those",,
maintenant,770210,,"now, currently",present participle of maintenir,,
ta,750320,,your,,
autre,732929,,other,another,used to express the equivalence or resemblance between two or more things; second,,
Oh,726152,,oh,,
temps,706842,,time (in general),weather,tense,,
peu,687721,,little; not very much/many,few,little,,
faut,680045,,third-person singular present indicative of falloir,third-person singular present indicative of faillir,,
encore,676828,,still,more,again,(not) yet; (never) before,again (following a question),,
quelque,673411,,some (singular),,
toujours,672881,,always,still,,
notre,671369,,our,,
mes,662334,,my (when referring to a plural noun),,
dois,639963,,first/second-person singular present indicative of devoir,,
besoin,637089,,need,want (state of being in need),,
avait,629226,,third-person singular imperfect indicative of avoir,,
vie,619170,,"life, the state of organisms (organic beings) prior to death","life, period in which one is alive, between birth and death","biography, life","life, lifeforms",cost of living,,
accord,609375,,chord,agreement,"permission, consent",,
fois,586520,,time (an instance or repetition of something happening),"times, multiplied by",plural of foi,,
aller,586092,,to go,"to attend (school, church regularly)",to be going (to); will soon; forms a near-future tense,to be (feeling),to go well,,
vas,583821,,second-person singular present indicative of aller,first-person singular present indicative of aller,,
vu,583820,,past participle of voir,given (based on),,
sans,573580,,without (not having),without (not doing or having done),,
étais,559223,,first/second-person singular imperfect indicative of être,plural of étai,,
dis,555211,,inflection of dire:,,
monde,553057,,world,people,good heavens,pure; clean,,
crois,550090,,inflection of croire:,,
avant,542563,,beforehand; earlier,before (in time),"before (in space), in front of, ahead of",front,forward,,
sûr,533550,,"sure, certain",trustworthy,safe,,
trop,532658,,too; too much,"very, really, so",,
parce,516701,,only used in parce que,,
parler,514795,,"to speak, talk",to be able to communicate in a language; to speak,to cant; (of a coat of arms) to make a pun of its bearer's name,parlance,"vernacular, dialect",,
donc,513375,,"therefore, consequently; thus",,
personne,511737,,person,"no one, nobody",anyone,,
leur,511695,,(to) them,their,,
père,510278,,father (parent),father (clergyman),Sr. (senior) (postnominal title used to indicate a father that shares the same name as the son),,
quelqu',508399,,,
avais,508134,,first/second-person singular imperfect indicative of avoir,,
aux,495300,,Contraction of à + les ('to the' or 'of the'),,
dieu,489952,,"a god, male divinity",,
après,486107,,"after, later than in time.","after, coming for, trying to get (someone).",afterwards,that being said,Indicates the continuous aspect,,
ses,476989,,"his, her, its, their, one's (when referring to a plural noun)",,
homme,473055,,man (adult male human),"man, Man (species)",man (employee),husband,boyfriend,,
viens,470054,,inflection of venir:,,
aime,469435,,inflection of aimer:,,
eu,463931,,initialism of États-Unis (= United States): a country in North America: US,,
vrai,461835,,true,"real, proper","honest, sincere, truthful",truth,true; truly,,
doit,460009,,"third-person singular present indicative of devoir: must, has to",,
veut,458797,,third-person singular present indicative of vouloir,,
femme,455687,,woman,wife,"alternative form of fem (“femme, feminine lesbian”) (contrast butch)",,
ans,449936,,plural of an,,
ouais,444834,,"synonym of oui; yeah, yep, yup, yes, affirmative expression",synonym of oui (used to express consent),wow,whoo (expresses joy),,
mal,444570,,"trouble, difficulty",pain,evil,"damage, harm",badly,,
pense,443644,,inflection of penser:,,
chez,439287,,"to, at, in or into the place of","by extension, to, at or in the country of",in; among (a group of things or people of the same type),in the work of (an author or artist),,
mort,433648,,past participle of mourir,dead,dead person,death,,
vos,432956,,plural of votre; your (plural or formal you),,
déjà,424602,,"already, before",again (following a question),"for a start, firstly",,
depuis,421753,,since,"since, ever since",for ~,"for the last ~, over the past ~",from,,
ca,420715,,initialism of conseil d'administration,initialism of chiffre d'affaires,initialism of courant alternatif (“AC or alternating current”),initialism of comptable agréé (“chartered accountant”): CA,,
sera,416347,,third-person singular future indicative of être,,
ok,411764,,OK (endorsement; approval),,
mieux,409442,,comparative degree of bien; better,superlative degree of bien; best,"more, -er.","the best of one's ability, one's best",,
bonne,408826,,feminine singular of bon,maid,,
beaucoup,403190,,"much, very much, a lot",very,,
tes,401984,,your (when referring to a plural noun),,
t,401436,,"The twentieth letter of the French alphabet, written in the Latin script.",Informal spelling of t'es,,
gens,396139,,set of people,,
mère,394976,,mother,,
vois,393530,,inflection of voir:,,
peut-être,390756,,"maybe, perhaps",,
fille,389546,,girl,daughter,"prostitute, wench",,
quel,385455,,which,"what, what a (used to form exclamations)",what,,
voilà,378627,,"there (it) is, there (it) comes","here (it) is, here (it) comes","that is (introduces something one has said, whereas voici something one is about to)","expresses something completed; used with pronouns, can serve as a loose copula",expresses the unexpected or abrupt nature of an event,,
désolé,377153,,"desolate, forsaken",sorry; apologetic,sorry (an apology),past participle of désoler,,
petit,371450,,small,little,petty,small one (anything that is small),little one (anything that is little),,
avons,365131,,first-person plural present indicative of avoir,,
jour,352189,,day,"daylight, light","opening, aperture",,
voulez,352001,,second-person plural present indicative of vouloir,,
autres,351260,,plural of autre,,
maison,351197,,house,homemade,in-house,"first-rate, top-notch",,
soit,351092,,third-person singular present subjunctive of être,let be,"or, meaning, that is to say",either ... or,OK; granted; so be it,,
faites,344936,,inflection of faire:,feminine plural of fait,,
passe,344291,,pass (the act of passing),pass (passageway),pass,trick (paid-for sex act),pass (document allowing entry),,
soir,343981,,evening,post-1990 spelling of seoir,,
toute,340017,,feminine singular of tout,,
passé,336252,,past tense,past (opposite of future),past,last,past participle of passer,,
nos,332909,,plural of notre; our,,
cela,330955,,that,third-person singular past historic of celer,,
nom,330188,,name,noun,noun or adjective; used in nom adjectif and nom substantif,,
prendre,327682,,to take,to eat; to drink,to get; to buy,to rob; to deprive,to make,,
monsieur,326912,,"mister, sir (a title or form of address for a man, used with or without the name in direct or third-person address)",gentleman,,
savoir,325869,,to know (something),to know how (to do something),"to be able to, to be apt to (especially in the negative or interrogative conditional; used in the positive in Belgium)",to find out,knowledge,,
regarde,323586,,inflection of regarder:,,
choses,317084,,plural of chose; things.,,
cet,316673,,this,,
allons,314674,,inflection of aller:,,
reste,311664,,"rest, remainder",a trace or vestige which remains,remainder,inflection of rester:,,
Salut,311399,,"hi, hello","bye, goodbye",wave (of the hand),bow (inclination of the body),salvation,,
nuit,308923,,night,third-person singular present indicative of nuire,,
arrive,308770,,inflection of arriver:,,
argent,307268,,silver,"money, cash",argent (white in heraldry),,
seul,304914,,lonely,alone,only,single,,
puis,301877,,then; after; next,and,first-person singular present indicative of pouvoir,,
moins,301685,,"comparative degree of peu; less, fewer",minus; negative,superlative degree of peu; the least,the minus sign,minus,,
raison,299513,,reason (cause),reason (mental faculties),common difference (of an arithmetic series),common ratio (of a geometric series),,
laisse,298656,,"leash, lead",foreshore,laisse,inflection of laisser:,,
air,297279,,air (gases of the atmosphere),"tune, aria",appearance,air (pretension),,
savez,297051,,second-person plural present indicative of savoir,,
bonjour,296774,,greetings; hello (general salutation),good day; good afternoon,goodbye,,
moment,295545,,moment (point in time),moment (short period of time),a while,"moment, momentum",,
entre,292738,,between,among,inflection of entrer:,,
voulais,291633,,first/second-person singular imperfect indicative of vouloir,,
aurais,290626,,first/second-person singular conditional of avoir,,
aider,289427,,to help; to aid,to use,,
maman,286415,,"mummy, mommy, mom, mum",,
appelle,284540,,inflection of appeler:,,
papa,282371,,"papa, a child's father; also as form of address: dad, daddy","pops, any man of roughly fatherly age and appearance",,
peur,281779,,fear,,
problème,280510,,problem,trouble,,
merde,273894,,"shit!, crap!",break a leg!,"turd, piece of feces, shit",shit (something undesirable or unwanted),shit (something of poor quality),,
fils,273791,,son,any male descendant,"any direct descendant, male or female",Jr. (postnominal designator indicating a son with the same name as the father),"darling, dear (term of affection for a male beloved)",,
attends,271550,,inflection of attendre:,,
trois,271085,,three,,
jusqu',265143,,apocopic form of jusque,,
sait,265127,,third-person singular present indicative of savoir,,
pouvez,264721,,second-person plural present indicative of pouvoir,,
tête,264338,,head (part of the body),head (leader),header,"a bright spark, a quick study",ellipsis of note de tête (“top note”),,
dû,264319,,"what is owed, what is due, money's worth",past participle of devoir,,
gars,264082,,"lad, guy",guys (usually all male),,
parle,263950,,inflection of parler,inflection of parler:,,
plaît,263733,,third-person singular present indicative of plaire,,
arrête,263489,,inflection of arrêter:,,
assez,261939,,to a sufficient or moderate degree; enough; sufficiently,,
sommes,260739,,first-person plural present indicative of être,second-person singular present indicative/subjunctive of sommer,plural of somme,,
tuer,259940,,to kill,"to rock, to be awesome",,
trouvé,259798,,past participle of trouver,"found, being to object of a find(ing)","invented, thought-up, imagined","found and somehow taken in, as said of a foundling",,
serait,258470,,third-person singular conditional of être,,
vite,258462,,quickly,quick; fast,,
trouver,257639,,"to find; to retrieve something lost, turn up something hidden, or encounter something previously unknown to one",to find (something to be the case); to think or consider (something to be so),to find oneself (at a place or in a situation),"to be found, to be situated, to be","to be the case, to turn out (that)",,
pourrait,257617,,third-person singular conditional of pouvoir,,
bas,257606,,low,bass,socks; stockings; feet,lower end; bottom (of a thing),stocking,,
famille,257340,,family (group of related people),family,,
quelle,257323,,feminine singular of quel:,feminine singular of quel,,
pris,254998,,taken,occupied,first/second-person singular past historic of prendre,past participle of prendre,,
toutes,253907,,feminine plural of tout,,
pu,250548,,past participle of pouvoir,past participle of paître,alternative form of plus,,
Ah,246552,,ah,,
partir,246029,,"to share, to share out, to divide","to go away, leave, depart",to originate,to die,to emanate,,
quelques,245804,,plural of quelque (“some”),,
travail,245555,,work; labor,job,workplace,,
elles,244962,,they (female),disjunctive form of elles; them (female),plural of elle,,
aurait,244010,,third-person singular conditional of avoir,,
seule,242835,,feminine singular of seul,,
chance,240876,,chance,luck,"Immigrant of non-European heritage, short for ""chance pour la France"".",,
enfants,240507,,plural of enfant,,
voiture,240129,,car (wheeled vehicle usually pulled by a horse),car (wagon),car (motorized vehicle),,
Eh,239886,,signifying indifference or surprise,,
part,238512,,share,"portion, part, slice",proportion,third-person singular present indicative of partir,newborn,,
jours,237314,,plural of jour (“day”),,
connais,236617,,inflection of connaître:,,
ami,236059,,friend (one who is affectionately attached to another),,
idée,235947,,idea,,
grand,235542,,big,tall,"grown up, big","great (i.e. important, outstanding, noble, fine, renowned)",grand,,
truc,232950,,"procedure, technique","thingamajig, thingy, thing",trick,,
pendant,231567,,present participle of pendre,hanging,"during, throughout, for the duration of",stone that dangles on earrings,"match, counterpart",,
combien,230197,,how much (for uncountable nouns and portions),how much (for money),how many (with countable nouns),,
Hé,229580,,Used to call someone; hey,Used to express surprise; eh,"Used as a tag question, to emphasise what goes before or to request that the listener confirm or agree with what has been said.",a wooded slope,,
sens,228909,,"meaning, sense","sense, sensation","sense, intelligence",direction of circulation,inflection of sentir:,,
demain,228769,,tomorrow,,
prends,228134,,inflection of prendre:,,
tant,228008,,so much,so many,both ... and,,
venir,227859,,to come (to move from one place to another that is nearer the speaker),"used in venir de with the meaning of ""originate from"" or ""have just done""","to cum, to come, to orgasm",,
passer,227168,,to go past,to cross (a border),to pass,to spend (time),to publish (a newspaper),,
tard,226404,,late,,
aujourd'hui,223929,,today,nowadays,,
hein,222607,,"huh, hey, eh",,
petite,222277,,feminine singular of petit,,
porte,222030,,door,"gate (to a city, at airport)","gateway, means, door",inflection of porter:,,
mec,220448,,"guy, fellow, bloke, chap, dude, boyfriend","term of address between adult males: man, buddy, dude, bro, mate",pimp,,
donne,219678,,inflection of donner:,distribution of cards; dealing of cards; (metonymic) the cards that one is given,predicament; situation which one is dealt,,
aide,219234,,"help, support",assist,aide (person),inflection of aider:,,
heure,218897,,"hour, time",o'clock,,
sang,218817,,blood,,
coup,217385,,"blow, hit, strike",fast and instantaneous action,"load, shot",bit (small quantity),planned action,,
comprends,216456,,first-person singular present indicative of comprendre,inflection of comprendre:,,
dites,215564,,inflection of dire:,feminine plural of dit,,
vient,215546,,third-person singular present indicative of venir,,
contre,215264,,against (in physical contact with),against (not in favor of),against (having as an opponent),"as against (as opposed to, compared to, in contrast with)",in exchange for,,
sortir,215105,,"to exit, go out, come out","to take out, bring out",to have or take,to organise; put by sort,"end, closing",,
super,210970,,"superb, great","extremely, very (as an intensifier)","great, fantastic","to suck, to sip",,
entendu,210446,,past participle of entendre,understood,heard,"accepted, decided following a discussion",,
hommes,210331,,plural of homme,,
nouveau,209059,,"new, novel","new person, new thing",,
sous,203206,,"below, under",plural of sou,money,,
demande,202260,,request (act of requesting),demand,small fine (paid after breaking a rule),inflection of demander:,,
ensemble,201704,,together,"set, grouping, aggregate, collection, body (a coming together of elements forming a whole, a unified or interrelated group)",outfit (a set of articles of clothing),set,ensemble,,
cas,201253,,"case, situation",case,,
importe,200867,,inflection of importer:,,
devrais,200451,,first/second-person singular conditional of devoir,,
amour,199873,,love,,
question,199745,,question (interrogation by torture),"question (sentence, phrase or word which asks for information, reply or response)","issue, matter, topic, problem",,
amis,198430,,plural of ami,,
tué,198264,,past participle of tuer,,
fini,197095,,past participle of finir,aspect or texture of what has been completed,"completed, done","finished, over (which has come to an end)","limited, finite (which has an end)",,
rester,196454,,to stay,"to remain, be left over","to stay, to remain (to continue to have a particular quality)",to rest,to live,,
putain,196354,,"whore, hooker","bitch, cow (an unpleasant woman)","fuck, fucking hell, bloody hell",used as an intensifier,,
eux,193662,,disjunctive form of ils; them,,
histoire,191666,,story,history,"lie, fantasy, invention",misadventure,,
désolée,191612,,feminine singular of désolé,,
chercher,189929,,"to look for, to seek",to look (to do something),"to mess with someone, ask for trouble","to pick up, to go and get",to get to know oneself,,
frère,189007,,brother (son of the same parents as another person),brother (male fellow member of a religious community),bro (male comrade or friend),,
mois,188704,,month,"period, menstruation",,
partie,188609,,"part (portion, amount)",party,"game, play (sense ""the conduct, or course of a game"")",subset,feminine singular of parti,,
écoute,187245,,the act of listening,"(always in plural) listening in, especially short for écoutes téléphoniques (phone hacking)",sheet (line to control a sail),inflection of écouter:,,
dernière,184525,,feminine singular of dernier,,
aucun,184082,,"no, none, not any","none, no-one",,
ville,183788,,"town, city",,
genre,183672,,kind,"style, look, type",genre,gender (of nouns),voice (of verbs),,
car,182952,,"as, since, because, for","a single-decked long-distance, or privately hired, bus, a coach",,
police,182789,,police,cop (police officer),policy,font,inflection of policer:,,
vont,182629,,third-person plural present indicative of aller,third-person plural present indicative of vader,,
seulement,182324,,only,,
ni,181628,,neither; nor,,
laisser,181549,,"to leave, to leave behind","to forget, to leave alone","to leave with, to give","to let, to allow","to allow oneself, to let oneself",,
pensais,180526,,first/second-person singular imperfect indicative of penser,,
chaque,178970,,each,every,,
devrait,178789,,third-person singular conditional of devoir,,
mettre,178742,,to put; to place,to put on,to set,to start (something / doing something),to get around to it,,
celui,178610,,the one,,
pourrais,176716,,first/second-person singular conditional of pouvoir,,
laissez,176435,,inflection of laisser:,,
parlé,176297,,past participle of parler,colloquial,inflection of parler:,,
arrivé,175795,,past participle of arriver,,
longtemps,175411,,for a long time; over a long period,,
heures,175084,,plural of heure,,
I',173697,,,
trouve,172998,,inflection of trouver:,,
tiens,172031,,"used to show uncertainty; like, you know",used to show surprise,used to show emphasis,said when giving something to someone; here,inflection of tenir:,,
place,171906,,"place, square, plaza, piazza","place, space, room","place, seat",inflection of placer:,,
compris,170316,,understood,included,past participle of comprendre,you hear me? understood?,,
aucune,169927,,feminine singular of aucun,,
leurs,169620,,plural of leur: their (used before a plural noun),,
attention,168561,,attention (mental focus),vigilance,attention (concern for),attention (interest in),"consideration, thoughtfulness",,
bébé,168450,,baby,,
type,167314,,"type; sort, kind","guy, bloke, man",typeface,"typical, normal, classic",standard,,
revoir,166420,,to see again,to re-examine,,
savais,166343,,first/second-person singular imperfect indicative of savoir,,
yeux,165844,,"plural of œil, eyes",,
main,165315,,hand,handball,quire,,
pouvoir,164786,,"can, to be able to",may (of a choice),"to be possible; may, could be",to have the right (to),"to have the power, the authority or the talent (to do something)",,
étaient,164489,,third-person plural imperfect indicative of être,,
perdu,163417,,past participle of perdre,lost,,
voici,162464,,here (it) is,"expresses something in the making or that is happening; used with pronouns, can serve as a loose copula","this is, introduces something one is about to say, whereas voilà something said",ago,,
côté,161897,,side,"way, direction","as for, in terms of",,
donné,161331,,"affordable, cheap","viable, achievable, not difficult",past participle of donner,,
pardon,161258,,excuse me,sorry,"pardon, forgiveness",,
vieux,160877,,old,old person,dad,parents,old chap,,
endroit,160747,,"place, spot (specified area)",,
donner,160629,,"to give, to transfer the possession/holding of something to someone else",to donate,to come across,,
attendez,160332,,inflection of attendre:,,
corps,160048,,body,corpse,corps,field,body (shank of a type),,
affaire,158835,,business; matter; affair,"deal, transaction, bargain","business, enterprise","affair, scandal","case, trial",,
train,158665,,train (rail mounted vehicle),pace,noise,,
premier,158639,,first,prime (number etc),premier,prime minister,,
dont,158538,,"of/from whom/which, whose; whereof",by which,"Denotes a part of a set, may be translated as ""including"" or such as in some situations.",,
regardez,157976,,inflection of regarder:,,
venez,157298,,inflection of venir:,,
vers,157219,,towards,to,"around, circa (with a date or time)",verse,plural of ver,,
minutes,156891,,plural of minute,second-person singular present indicative/subjunctive of minuter,,
point,156798,,point (small mark),point,"full stop, period (punctuation mark)",stitch pattern,dot (Morse code symbol),,
sois,156782,,inflection of être,inflection of être:,,
première,156163,,feminine singular of premier,"premiere, première","first (new event, something never done before)",the penultimate year of lycée,"first, first gear",,
façon,155597,,way; manner; fashion,,
terre,154797,,earth; soil,"land, property (delimited area)",inflection of terrer:,,
matin,153809,,morning,,
suite,153424,,result,sequel,"next step, next steps, that which follows, remainder, rest",straight,sequence,,
enfant,153216,,child (someone who is not yet an adult),child (offspring of any age),"son, native (of a place)",,
devant,153020,,"confronted with, faced with","in front of, before",outside,"in front, at the front",front,,
dessus,152120,,on (it),on top (of it),upstairs,over (it),"on, on top of",,
venu,150954,,past participle of venir,,
compte,150131,,account (bank or user account),count (the action of counting),inflection of compter:,,
nouvelle,149875,,feminine singular of nouveau (“new”),"news, a piece of information","novella, short story",,
droit,148877,,right (entitlement),law (study of law),right angle,right (on the right-hand side),straight (not bent or crooked),,
aura,148613,,aura,third-person singular future of avoir,,
boulot,148470,,work,job,,
aimerais,148400,,first/second-person singular conditional of aimer,,
eau,148036,,"water, a liquid that is transparent, colorless, odorless, and tasteless in its pure form, the primary constituent of lakes, rivers, seas, and oceans","In particular, rain","the chemical compound with molecular formula H₂O existing in the form of ice, liquid water or steam",Natural liquid quantities or expanses,"Fluids such as sweat, formed and found in the body of man or animal",,
mourir,147695,,to die; to be dying,to be dying (of),to be dying,the experience or process of dying (as opposed to the state of being dead),,
loin,147509,,"far, distant",,
mis,147451,,first/second-person singular past historic of mettre,past participle of mettre,masculine plural of mi,,
